Time,Trial,user0,user1,user2,cam0,cam1,cam2,camr0,camr1,camr2,camr3,tra0,tra1,tra2,trar0,trar1,trar2,trar3,goalPos0,goalPos1,goalPos2,assistance-T_none-V_VO-2,hitHMD,hits,failed_escapes,goaldist,score,health,assistance,threattype,goaltype,waypointTimer,minSafetyArc,targetArea,obsRad,targetHeight,obj1Pos0,obj1Pos1,obj1Pos2,obj2Pos0,obj2Pos1,obj2Pos2,obj3Pos0,obj3Pos1,obj3Pos2,obj4Pos0,obj4Pos1,obj4Pos2,obj5Pos0,obj5Pos1,obj5Pos2,obj6Pos0,obj6Pos1,obj6Pos2,obj7Pos0,obj7Pos1,obj7Pos2,obj8Pos0,obj8Pos1,obj8Pos2,obj9Pos0,obj9Pos1,obj9Pos2,obj10Pos0,obj10Pos1,obj10Pos2,obj11Pos0,obj11Pos1,obj11Pos2,obj12Pos0,obj12Pos1,obj12Pos2,obj13Pos0,obj13Pos1,obj13Pos2,obj14Pos0,obj14Pos1,obj14Pos2,obj15Pos0,obj15Pos1,obj15Pos2,obj16Pos0,obj16Pos1,obj16Pos2,obj17Pos0,obj17Pos1,obj17Pos2,obj18Pos0,obj18Pos1,obj18Pos2,obj19Pos0,obj19Pos1,obj19Pos2,obj20Pos0,obj20Pos1,obj20Pos2,angle0,angle1,angle2,angle3,angle4,angle5,angle6,angle7,angle8,angle9,angle10,angle11,angle12,angle13,angle14,angle15,angle16,angle17,angle18,angle19,angle20,angle21,angle22,angle23,angle24,angle25,angle26,angle27,angle28,angle29,angle30,angle31,angle32,angle33,angle34,angle35,angle36,angle37,angle38,angle39,angle40,angle41,angle42,angle43,angle44,angle45,angle46,angle47,angle48,angle49,angle50,angle51,angle52,angle53,angle54,angle55,angle56,angle57,angle58,angle59
0.4800001,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.05041936,1.40625,-0.08068783,90,0,0,0,0.09514534,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.5000001,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.05390044,1.40625,-0.08625872,90,0,0,0,0.1017144,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.52,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.05738794,1.40625,-0.09183989,90,0,0,0,0.1082956,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.54,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.06088188,1.40625,-0.09743135,90,0,0,0,0.114889,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.56,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.06438226,1.40625,-0.1030331,90,0,0,0,0.1214944,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.58,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.06788909,1.40625,-0.1086452,90,0,0,0,0.1281121,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.07140239,1.40625,-0.1142677,90,0,0,0,0.134742,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6199999,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.07492217,1.40625,-0.1199005,90,0,0,0,0.1413841,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6399999,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.07844844,1.40625,-0.1255437,90,0,0,0,0.1480385,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6599999,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.08198121,1.40625,-0.1311973,90,0,0,0,0.1547051,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6799999,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.08552051,1.40625,-0.1368614,90,0,0,0,0.161384,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.6999999,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.08906633,1.40625,-0.1425359,90,0,0,0,0.1680753,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7199998,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.09261868,1.40625,-0.1482209,90,0,0,0,0.1747788,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7399998,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.09617759,1.40625,-0.1539163,90,0,0,0,0.1814948,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7599998,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.09974307,1.40625,-0.1596223,90,0,0,0,0.1882231,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.7799998,0,0,-0.55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.1033808,1.40625,-0.1652926,90,0,0,0,0.1949596,0,50,3,1,1,1000.00,30,0.7,0.2,1.25,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1000,-1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
